Time,u[time],Voltage,u[Voltage]
(sec),(sec),(V),(V)
1.584e-06,0.0,5.015599999999997,0.0008952017773788213
4.7839999999999994e-06,0.0,5.017599999999998,0.0008952017773788213
7.983999999999998e-06,0.0,5.018799999999998,0.0008952017773788213
1.1184e-05,0.0,5.018399999999998,0.0008952017773788213
1.4384e-05,0.0,5.018799999999998,0.0008952017773788213
1.7584e-05,0.0,5.019599999999998,0.0008952017773788213
2.0783999999999996e-05,0.0,5.017999999999998,0.0008952017773788213
2.3983999999999996e-05,0.0,5.018799999999998,0.0008952017773788213
2.7184000000000003e-05,0.0,5.019599999999998,0.0008952017773788213
3.0384000000000006e-05,0.0,5.020399999999998,0.0008952017773788213
3.3584e-05,0.0,5.018799999999998,0.0008952017773788213
3.6784e-05,0.0,5.019199999999997,0.0008952017773788213
3.9984e-05,0.0,5.019599999999998,0.0008952017773788213
4.3184e-05,0.0,5.019199999999998,0.0008952017773788213
4.6384e-05,0.0,5.020199999999997,0.0008952017773788213
4.9584e-05,0.0,5.019599999999998,0.0008952017773788213
5.2784e-05,0.0,5.019199999999998,0.0008952017773788213
5.5984e-05,0.0,5.019999999999998,0.0008952017773788213
5.9184e-05,0.0,5.020399999999998,0.0008952017773788213
6.2384e-05,0.0,5.019599999999998,0.0008952017773788213
6.5584e-05,0.0,5.020399999999998,0.0008952017773788213
6.8784e-05,0.0,5.019999999999998,0.0008952017773788213
7.198400000000001e-05,0.0,5.019599999999998,0.0008952017773788213
7.518399999999999e-05,0.0,5.020399999999998,0.0008952017773788213
7.8384e-05,0.0,5.018399999999998,0.0008952017773788213
8.1584e-05,0.0,5.019999999999999,0.0008952017773788213
8.478400000000001e-05,0.0,5.017199999999998,0.0008952017773788213
8.798400000000002e-05,0.0,5.020399999999998,0.0008952017773788213
9.118400000000003e-05,0.0,5.020399999999998,0.0008952017773788213
9.438400000000004e-05,0.0,5.019999999999998,0.0008952017773788213
9.7584e-05,0.0,5.019599999999998,0.0008952017773788213
0.00010078399999999999,0.0,5.019999999999999,0.0008952017773788213
0.000103984,0.0,5.019599999999998,0.0008952017773788213
0.00010718400000000001,0.0,5.019999999999998,0.0008952017773788213
0.00011038400000000002,0.0,5.020799999999998,0.0008952017773788213
0.00011358400000000002,0.0,4.9845999999999995,0.0008952017773788213
0.00011678399999999999,0.0,4.885000000000001,0.0008952017773788213
0.000119984,0.0,4.8568,0.0008952017773788213
0.000123184,0.0,4.833600000000001,0.0008952017773788213
0.000126384,0.0,4.805599999999999,0.0008952017773788213
0.00012958399999999997,0.0,4.779199999999999,0.0008952017773788213
0.000132784,0.0,4.754599999999999,0.0008952017773788213
0.000135984,0.0,4.7132,0.0008952017773788213
0.000139184,0.0,4.684200000000001,0.0008952017773788213
0.000142384,0.0,4.658399999999999,0.0008952017773788213
0.000145584,0.0,4.630399999999999,0.0008952017773788213
0.000148784,0.0,4.6019999999999985,0.0008952017773788213
0.000151984,0.0,4.5794,0.0008952017773788213
0.00015518400000000002,0.0,4.5502,0.0008952017773788213
0.000158384,0.0,4.527000000000001,0.0008952017773788213
0.00016158400000000004,0.0,4.484800000000003,0.0008952017773788213
0.00016478399999999996,0.0,4.4601999999999995,0.0008952017773788213
0.000167984,0.0,4.438399999999999,0.0008952017773788213
0.00017118399999999998,0.0,4.4091999999999985,0.0008952017773788213
0.00017438400000000003,0.0,4.3892,0.0008952017773788213
0.000177584,0.0,4.362,0.0008952017773788213
0.00018078400000000005,0.0,4.3282,0.0008952017773788213
0.000183984,0.0,4.300399999999999,0.0008952017773788213
0.000187184,0.0,4.276599999999999,0.0008952017773788213
0.000190384,0.0,4.251399999999999,0.0008952017773788213
0.00019358399999999998,0.0,4.2236,0.0008952017773788213
0.00019678399999999998,0.0,4.2044,0.0008952017773788213
0.000199984,0.0,4.181,0.0008952017773788213
0.000203184,0.0,4.1446,0.0008952017773788213
0.00020638399999999997,0.0,4.1168,0.0008952017773788213
0.00020958400000000002,0.0,4.0943999999999985,0.0008952017773788213
0.000212784,0.0,4.077599999999999,0.0008952017773788213
0.00021598400000000004,0.0,4.0512,0.0008952017773788213
0.000219184,0.0,4.034800000000001,0.0008952017773788213
0.00022238400000000003,0.0,4.0026,0.0008952017773788213
0.00022558399999999992,0.0,3.9960000000000004,0.0008952017773788213
0.000228784,0.0,3.9633999999999996,0.0008952017773788213
0.00023198399999999994,0.0,3.935199999999999,0.0008952017773788213
0.000235184,0.0,3.9127999999999985,0.0008952017773788213
0.00023838399999999996,0.0,3.8912,0.0008952017773788213
0.000241584,0.0,3.8692000000000006,0.0008952017773788213
0.00024478399999999995,0.0,3.8528000000000002,0.0008952017773788213
0.00024798400000000003,0.0,3.8303999999999996,0.0008952017773788213
0.000251184,0.0,3.813999999999999,0.0008952017773788213
0.000254384,0.0,3.7847999999999997,0.0008952017773788213
0.000257584,0.0,3.7688,0.0008952017773788213
0.000260784,0.0,3.7316000000000007,0.0008952017773788213
0.00026398400000000004,0.0,3.709200000000001,0.0008952017773788213
0.000267184,0.0,3.6848,0.0008952017773788213
0.00027038400000000003,0.0,3.6719999999999997,0.0008952017773788213
0.000273584,0.0,3.6473999999999993,0.0008952017773788213
0.000276784,0.0,3.634,0.0008952017773788213
0.00027998399999999994,0.0,3.6120000000000014,0.0008952017773788213
0.000283184,0.0,3.5928000000000013,0.0008952017773788213
0.000286384,0.0,3.557400000000001,0.0008952017773788213
0.000289584,0.0,3.5374000000000008,0.0008952017773788213
0.000292784,0.0,3.5144,0.0008952017773788213
