ProID,Info,,time,Vol.,
GenTime,2016-01-06 06:55,,0.000000e+00,3.280000e+00,
FileName,good.csv,,2.000000e-09,3.240000e+00,
Record Length,1400.000000 Points,,4.000000e-09,3.280000e+00,
Sample Interval,2.000000e-09 s,,6.000000e-09,3.240000e+00,
Trigger Time,3.991740e-04 S,,8.000000e-09,3.280000e+00,
Source,CH2,,1.000000e-08,3.280000e+00,
Vertical Units,V/grid,,1.200000e-08,3.280000e+00,
Vertical Scale,1.000000e+00,,1.400000e-08,3.280000e+00,
Vertical Offset,-6.000000e+00,,1.600000e-08,3.320000e+00,
Horizontal Units,s/grid,,1.800000e-08,3.280000e+00,
Horizontal Scale,2.000000e-07,,2.000000e-08,3.320000e+00,
Probe Atten,1.000000e+00,,2.200000e-08,3.280000e+00,
,,,2.400000e-08,3.320000e+00,
,,,2.600000e-08,3.280000e+00,
,,,2.800000e-08,3.320000e+00,
,,,3.000000e-08,3.280000e+00,
,,,3.200000e-08,3.360000e+00,
,,,3.400000e-08,3.280000e+00,
,,,3.600000e-08,3.320000e+00,
,,,3.800000e-08,3.320000e+00,
,,,4.000000e-08,3.360000e+00,
,,,4.200000e-08,3.320000e+00,
,,,4.400000e-08,3.360000e+00,
,,,4.600000e-08,3.320000e+00,
,,,4.800000e-08,3.360000e+00,
,,,5.000000e-08,3.320000e+00,
,,,5.200000e-08,3.360000e+00,
,,,5.400000e-08,3.320000e+00,
,,,5.600000e-08,3.360000e+00,
,,,5.800000e-08,3.320000e+00,
,,,6.000000e-08,3.360000e+00,
,,,6.200000e-08,3.320000e+00,
,,,6.400000e-08,3.360000e+00,
,,,6.600000e-08,3.320000e+00,
,,,6.800000e-08,3.360000e+00,
,,,7.000000e-08,3.320000e+00,
,,,7.200000e-08,3.360000e+00,
,,,7.400000e-08,3.320000e+00,
,,,7.600000e-08,3.360000e+00,
,,,7.800000e-08,3.320000e+00,
,,,8.000000e-08,3.360000e+00,
,,,8.200000e-08,3.320000e+00,
,,,8.400000e-08,3.360000e+00,
,,,8.600000e-08,3.320000e+00,
,,,8.800000e-08,3.360000e+00,
,,,9.000000e-08,3.320000e+00,
,,,9.200000e-08,3.360000e+00,
,,,9.400000e-08,3.320000e+00,
,,,9.600000e-08,3.360000e+00,
,,,9.800000e-08,3.320000e+00,
,,,1.000000e-07,3.360000e+00,
,,,1.020000e-07,3.320000e+00,
,,,1.040000e-07,3.360000e+00,
,,,1.060000e-07,3.320000e+00,
,,,1.080000e-07,3.360000e+00,
,,,1.100000e-07,3.320000e+00,
,,,1.120000e-07,3.360000e+00,
,,,1.140000e-07,3.320000e+00,
,,,1.160000e-07,3.320000e+00,
,,,1.180000e-07,3.320000e+00,
,,,1.200000e-07,3.320000e+00,
,,,1.220000e-07,3.280000e+00,
,,,1.240000e-07,3.320000e+00,
,,,1.260000e-07,3.280000e+00,
,,,1.280000e-07,3.320000e+00,
,,,1.300000e-07,3.280000e+00,
,,,1.320000e-07,3.320000e+00,
,,,1.340000e-07,3.280000e+00,
,,,1.360000e-07,3.320000e+00,
,,,1.380000e-07,3.280000e+00,
,,,1.400000e-07,3.280000e+00,
,,,1.420000e-07,3.240000e+00,
,,,1.440000e-07,3.280000e+00,
,,,1.460000e-07,3.240000e+00,
,,,1.480000e-07,3.280000e+00,
,,,1.500000e-07,3.240000e+00,
,,,1.520000e-07,3.280000e+00,
,,,1.540000e-07,3.240000e+00,
,,,1.560000e-07,3.240000e+00,
,,,1.580000e-07,3.200000e+00,
,,,1.600000e-07,3.240000e+00,
,,,1.620000e-07,3.200000e+00,
,,,1.640000e-07,3.240000e+00,
,,,1.660000e-07,3.200000e+00,
,,,1.680000e-07,3.240000e+00,
,,,1.700000e-07,3.200000e+00,
,,,1.720000e-07,3.200000e+00,
,,,1.740000e-07,3.160000e+00,
,,,1.760000e-07,3.200000e+00,
,,,1.780000e-07,3.160000e+00,
,,,1.800000e-07,3.200000e+00,
,,,1.820000e-07,3.120000e+00,
,,,1.840000e-07,3.160000e+00,
,,,1.860000e-07,3.120000e+00,
,,,1.880000e-07,3.160000e+00,
,,,1.900000e-07,3.120000e+00,
,,,1.920000e-07,3.120000e+00,
